iter	Passed	Remaining
796	2653	675
797	2656	672
798	2659	668
799	2661	665
800	2665	662
801	2669	659
802	2673	655
803	2676	652
804	2678	648
805	2681	645
806	2683	641
807	2687	638
808	2689	635
809	2692	631
810	2696	628
811	2698	624
812	2702	621
813	2705	618
814	2710	615
815	2713	611
816	2717	608
817	2720	605
818	2724	602
819	2728	599
820	2733	595
821	2736	592
822	2740	589
823	2743	586
824	2746	582
825	2750	579
826	2754	576
827	2757	572
828	2760	569
829	2762	565
830	2765	562
831	2767	558
832	2770	555
833	2773	552
834	2775	548
835	2777	544
836	2781	541
837	2784	538
838	2787	534
839	2790	531
840	2793	528
841	2796	524
842	2801	521
843	2804	518
844	2807	514
845	2810	511
846	2812	508
847	2816	504
848	2820	501
849	2824	498
850	2831	495
851	2834	492
852	2838	489
853	2842	485
854	2848	483
855	2852	479
856	2855	476
857	2859	473
858	2861	469
859	2865	466
860	2868	463
861	2870	459
862	2873	456
863	2876	452
864	2881	449
865	2885	446
866	2889	443
867	2893	440
868	2895	436
869	2898	433
870	2900	429
871	2904	426
872	2908	423
873	2910	419
874	2915	416
875	2917	412
876	2919	409
877	2921	406
878	2925	402
879	2927	399
880	2929	395
881	2933	392
882	2935	388
883	2937	385
884	2940	382
885	2942	378
886	2946	375
887	2948	371
888	2952	368
889	2954	365
890	2957	361
891	2959	358
892	2963	355
893	2965	351
894	2966	348
895	2970	344
896	2973	341
897	2976	338
898	2979	334
899	2981	331
900	2985	328
901	2988	324
902	2991	321
903	2994	317
904	2997	314
905	3000	311
906	3003	307
907	3007	304
908	3010	301
909	3013	298
910	3016	294
911	3019	291
912	3023	288
913	3025	284
914	3028	281
915	3032	278
916	3037	274
917	3041	271
918	3045	268
919	3048	265
920	3052	261
921	3056	258
922	3060	255
923	3064	252
924	3068	248
925	3071	245
926	3075	242
927	3077	238
928	3080	235
929	3084	232
930	3086	228
931	3089	225
932	3092	222
933	3096	218
934	3100	215
935	3103	212
936	3107	208
937	3111	205
938	3114	202
939	3117	198
940	3119	195
941	3122	192
942	3126	188
943	3128	185
944	3131	182
945	3133	178
946	3137	175
947	3140	172
948	3143	168
949	3145	165
950	3148	162
951	3151	158
952	3155	155
953	3158	152
954	3161	148
955	3163	145
956	3165	142
957	3168	138
958	3172	135
959	3175	132
960	3179	129
961	3183	125
962	3186	122
963	3189	119
964	3193	115
965	3199	112
966	3203	109
967	3207	106
968	3211	102
969	3215	99
970	3218	96
971	3222	92
972	3226	89
973	3230	86
974	3233	82
975	3236	79
976	3239	76
977	3242	72
978	3245	69
979	3246	66
980	3249	62
981	3253	59
982	3257	56
983	3261	53
984	3265	49
985	3269	46
986	3273	43
987	3277	39
988	3281	36
989	3284	33
990	3287	29
991	3289	26
992	3292	23
993	3294	19
994	3297	16
995	3301	13
996	3304	9
997	3307	6
998	3309	3
999	3313	0
